IngredientName,IngredientShortDescription,IngredientId,PortionUOMTypeId
"Box, Subway To Go! Meal                            ","Box, Subway To Go! Meal                     ",151,11.0
"Box, Pizza                                         ","Box, Pizza                                  ",152,11.0
"Cutlery, Knife & Fork Kit                          ","Cutlery, Knife & Fork Ki                    ",153,11.0
"Cutlery, Spoon                                     ","Cutlery, Spoon                              ",154,11.0
Mints                                              ,Mints                                       ,155,11.0
"Lid, Cold Cup 30 oz                                ","Lid, Cold Cup 30 oz.                        ",156,11.0
Deli Paper                                         ,Deli Paper                                  ,157,11.0
"Chicken Salad, Orchard Chicken Salad               ",Orchard Chicken Salad                       ,158,15.0
"Seasoning, Herb Chicken                            ","Seasoning, Herb Chicken                     ",159,11.0
"Cup, Cold 30 oz.                                   ","Cup, Cold 30 oz.                            ",160,11.0
"Cup, Cold, 40 oz.                                  ","Cup, Cold 40 oz.                            ",161,11.0
"Lid, Cold Cup 40 oz                                ","Lid,  Cold Cup 40 oz                        ",162,11.0
"Beverage, Juice Box                                ",Juice Box                                   ,163,11.0
"Gravy, Biscuit Gravy, Sausage                      ","Gravy, Biscuit Gravy, Sa                    ",164,15.0
BBQ Sauce Packet                                   ,BBQ Sauce Packet                            ,165,
Apple Pie                                          ,Apple Pie                                   ,166,11.0
"Water, Bottle                                      ","Water, Bottle                               ",167,11.0
Bagel                                              ,Bagel                                       ,168,11.0
Green Chile                                        ,Green Chile                                 ,169,15.0
"Box, Specialty - Small                             ","Box, Specialty - Small                      ",170,11.0
"Box, Specialty- Large                              ","Box, Specialty - Large                      ",171,11.0
Coffee                                             ,"Coffee, filter style gro                    ",172,15.0
"Chicken, Oven Crisp                                ","Chicken, Oven Crisp                         ",173,15.0
"Smoothie, Strawberry Concentrate                   ","Smoothie, Strawberry Con                    ",174,15.0
"Smoothie, Mango Concentrate                        ","Smoothie, Mango Concentr                    ",175,15.0
"Smoothie, Non Fat Vanilla Yogurt                   ","Smoothie, Non Fat Vanill                    ",176,15.0
"Fruit Blend, Parfait                               ","Fruit Blend, Parfait                        ",177,15.0
"Granola, Parfait                                   ","Granola, Parfait                            ",178,11.0
"Cup & Lid,  7 oz Parfait                           ","Cup & Lid, 7 oz Parfait                     ",179,11.0
"Lid, Hot Cup 12 & 16 oz                            ","Lid, Hot Cup 12 & 16 oz                     ",180,11.0
"Toy, Kids Meal Premium                             ","Toy, Kids Meal Premium                      ",181,11.0
Golden Italian Sauce                               ,"Italian, Golden Italian                     ",182,15.0
Hummus                                             ,Hummus                                      ,183,15.0
"Mayonnaise Packets, PC Packets                     ","Mayonnaise Packets, PC P                    ",184,11.0
Creamy Italian Sauce                               ,Creamy Italian Sauce                        ,185,12.0
"Mustard Packets, PC Packets                        ","Mustard Packets, PC Pack                    ",186,11.0
"Vinegar Packets, PC Packets                        ","Vinegar Packets, PC Pack                    ",187,11.0
"Oil Packets, PC Packets                            ","Oil Packets, PC Packets                     ",188,11.0
Hot Chocolate powder                               ,Hot Chocolate powder                        ,189,11.0
"Tea bag, single serve                              ","Tea bag, single serve                       ",190,11.0
"Ice Tea, Brewed bulk                               ","Ice Tea, Brewed bulk                        ",191,11.0
"Chicken, Shaved                                    ","Chicken, Shaved                             ",192,15.0
"Cups, Cold, 12 oz./350ml-360ml                     ","Cups, Cold, 12 oz./350ml                    ",193,11.0
"Bag, Catering Tray carry bag                       ","Bag, Catering Tray carry                    ",194,11.0
"Cleaner, Coffee Pot Cleaner                        ","Cleaner, Coffee Pot Clea                    ",195,11.0
"Cream Cheese, Portion Control pack                 ","Cream Cheese, Portion Co                    ",196,11.0
Drink Carrier                                      ,Drink Carrier                               ,197,11.0
"Cleaner, Acrylic Cleaner                           ","Cleaner, Acrylic Cleaner                    ",198,11.0
"Cup, Clear 7 oz.                                   ","Cup,  Clear 7 oz.                           ",199,11.0
"Cleaning, Board Bright Cutting Board Cleaner       ","Cleaning, Board Bright C                    ",200,11.0
"Cleaner, Liquid Drain cleaner                      ","Cleaner, Liquid Drain C                     ",201,11.0
"Cleaning, Trash Can Liner                          ","Cleaning, Trash Can Line                    ",202,11.0
"Cleaner, Degreaser                                 ","Cleaner, Degreaser                          ",203,11.0
"Lid, Cold  Cup 7 oz.                               ","Lid, Cold Cup 7 oz.                         ",204,11.0
House Sandwich Sauce - Metric                      ,House Sandwich Sauce - M                    ,205,15.0
Greek Vinaigrette Sauce Dressing - Metric          ,Greek Vin. Sauce Dressin                    ,206,
Lobster                                            ,"Lobster, picked lobster                     ",207,15.0
Fruit Roll-up                                      ,Fruit Roll-up                               ,208,11.0
"Cleaner, De-Limer & Scale Remover                  ","Cleaner, De-Limer & Sca                     ",209,11.0
"Cleaner, Dish Detergent                            ","Cleaner, Dish Detergent                     ",210,11.0
"Cleaning, Towels - Paper                           ","Cleaning, Towels - Paper Roll               ",211,11.0
Distributor Fee                                    ,Distributor Fee                             ,212,11.0
Distributor Credit / Discount                      ,Distributor Credit / Dis                    ,213,
"Cleaner, Floor                                     ","Cleaner, Floor                              ",214,11.0
"Cleaner, Freezer                                   ","Cleaner, Freezer                            ",215,11.0
"Cleaner, Glass                                     ","Cleaner, Glass                              ",216,11.0
"Cleaner, Graffiti Remover                          ","Cleaner, Graffiti Remove                    ",217,11.0
"Cleaner, Hand Sanitizer                            ","Cleaner, Hand Sanitizer                     ",218,11.0
"Cleaner, Kleer Wash                                ","Cleaner, Kleer Wash                         ",219,11.0
Apple Snapz                                        ,Apple Snapz                                 ,220,
"Cleaner, Oven                                      ","Cleaner, Oven                               ",221,11.0
"Cleaner, Hand Soap                                 ","Cleaner, Hand Soap                          ",222,11.0
